experiment_group,graph_family,dataset,variant,name,target_density,generator_seed,declared_classes,n_vertices,n_edges,density,min_degree,avg_degree,max_degree,component_count,largest_component,clique_lower_bound,used_colors,success,timed_out,pruned_by_clique,search_status,node_expansions,backtracks,runtime_seconds,overhead_ms_per_node,first_fail_depth,timeout_seconds,solutions_found,solution_target,stopped_on_target,color_limit,valid_coloring,explanation_notes
provided_maps,dimacs_leighton,le450_5a.col,B0,Base Backtracking,,,5,450,5714,0.05656,13,25.395556,42,1,450,5,0,False,True,False,timeout,7835909,16535317,500.000059,0.063809,31,500.0,0,1,False,5,False,clique_lower_bound=5; component_count=1; largest_component=450; density=0.0566; max_degree=42; avg_degree=25.40; component_strategy=single-search
provided_maps,dimacs_leighton,le450_5a.col,B1,Backtracking + Forward Checking,,,5,450,5714,0.05656,13,25.395556,42,1,450,5,0,False,True,False,timeout,8474792,17578538,500.000164,0.058999,19,500.0,0,1,False,5,False,clique_lower_bound=5; component_count=1; largest_component=450; density=0.0566; max_degree=42; avg_degree=25.40; component_strategy=single-search
provided_maps,dimacs_leighton,le450_5a.col,B2,B1 + MRV,,,5,450,5714,0.05656,13,25.395556,42,1,450,5,5,True,False,False,success,74848,80671,249.705652,3.33617,5,500.0,1,1,True,5,True,clique_lower_bound=5; component_count=1; largest_component=450; density=0.0566; max_degree=42; avg_degree=25.40; component_strategy=single-search
provided_maps,dimacs_leighton,le450_5a.col,B3,B2 + Degree Tie-Break,,,5,450,5714,0.05656,13,25.395556,42,1,450,5,5,True,False,False,success,74848,80671,254.151884,3.395573,5,500.0,1,1,True,5,True,clique_lower_bound=5; component_count=1; largest_component=450; density=0.0566; max_degree=42; avg_degree=25.40; component_strategy=single-search
provided_maps,dimacs_leighton,le450_5a.col,B4,B3 + LCV,,,5,450,5714,0.05656,13,25.395556,42,1,450,5,5,True,False,False,success,45277,48122,150.543726,3.324949,6,500.0,1,1,True,5,True,clique_lower_bound=5; component_count=1; largest_component=450; density=0.0566; max_degree=42; avg_degree=25.40; component_strategy=single-search
provided_maps,dimacs_leighton,le450_5a.col,B5,B4 + Structured Pruning,,,5,450,5714,0.05656,13,25.395556,42,1,450,5,5,True,False,False,success,45277,48122,148.93399,3.289396,6,500.0,1,1,True,5,True,clique_lower_bound=5; component_count=1; largest_component=450; density=0.0566; max_degree=42; avg_degree=25.40; component_strategy=decompose
provided_maps,dimacs_leighton,le450_25a.col,B0,Base Backtracking,,,25,450,8260,0.081762,2,36.711111,128,1,450,25,25,True,False,False,success,581,211,0.05442,0.093665,273,500.0,1,1,True,25,True,clique_lower_bound=25; component_count=1; largest_component=450; density=0.0818; max_degree=128; avg_degree=36.71; component_strategy=single-search
provided_maps,dimacs_leighton,le450_25a.col,B1,Backtracking + Forward Checking,,,25,450,8260,0.081762,2,36.711111,128,1,450,25,25,True,False,False,success,521,91,0.043905,0.084271,273,500.0,1,1,True,25,True,clique_lower_bound=25; component_count=1; largest_component=450; density=0.0818; max_degree=128; avg_degree=36.71; component_strategy=single-search
provided_maps,dimacs_leighton,le450_25a.col,B2,B1 + MRV,,,25,450,8260,0.081762,2,36.711111,128,1,450,25,25,True,False,False,success,450,0,3.580931,7.957624,,500.0,1,1,True,25,True,clique_lower_bound=25; component_count=1; largest_component=450; density=0.0818; max_degree=128; avg_degree=36.71; component_strategy=single-search
provided_maps,dimacs_leighton,le450_25a.col,B3,B2 + Degree Tie-Break,,,25,450,8260,0.081762,2,36.711111,128,1,450,25,25,True,False,False,success,450,0,3.551466,7.892146,,500.0,1,1,True,25,True,clique_lower_bound=25; component_count=1; largest_component=450; density=0.0818; max_degree=128; avg_degree=36.71; component_strategy=single-search
provided_maps,dimacs_leighton,le450_25a.col,B4,B3 + LCV,,,25,450,8260,0.081762,2,36.711111,128,1,450,25,25,True,False,False,success,450,0,3.767418,8.372039,,500.0,1,1,True,25,True,clique_lower_bound=25; component_count=1; largest_component=450; density=0.0818; max_degree=128; avg_degree=36.71; component_strategy=single-search
provided_maps,dimacs_leighton,le450_25a.col,B5,B4 + Structured Pruning,,,25,450,8260,0.081762,2,36.711111,128,1,450,25,25,True,False,False,success,450,0,3.637594,8.083541,,500.0,1,1,True,25,True,clique_lower_bound=25; component_count=1; largest_component=450; density=0.0818; max_degree=128; avg_degree=36.71; component_strategy=decompose
provided_maps,dimacs_leighton,le450_15b.col,B3,B2 + Degree Tie-Break,,,15,450,8169,0.080861,1,36.306667,94,1,450,15,0,False,True,False,timeout,390973,515223,500.001316,1.278864,190,500.0,0,1,False,15,False,clique_lower_bound=15; component_count=1; largest_component=450; density=0.0809; max_degree=94; avg_degree=36.31; component_strategy=single-search
provided_maps,dimacs_leighton,le450_15b.col,B4,B3 + LCV,,,15,450,8169,0.080861,1,36.306667,94,1,450,15,0,False,True,False,timeout,261776,306309,500.001894,1.910037,196,500.0,0,1,False,15,False,clique_lower_bound=15; component_count=1; largest_component=450; density=0.0809; max_degree=94; avg_degree=36.31; component_strategy=single-search
provided_maps,dimacs_leighton,le450_15b.col,B5,B4 + Structured Pruning,,,15,450,8169,0.080861,1,36.306667,94,1,450,15,0,False,True,False,timeout,265435,310419,500.002568,1.88371,196,500.0,0,1,False,15,False,clique_lower_bound=15; component_count=1; largest_component=450; density=0.0809; max_degree=94; avg_degree=36.31; component_strategy=decompose
